Date/Time,Word Count,en,es-ES
2024.03.07-10.00.25,6193,0,6193
2024.03.07-10.19.46,6186,0,6186
2024.03.07-10.22.01,5868,0,5868
2024.03.07-10.26.58,5842,0,5842
2024.03.07-10.41.40,5604,0,5604
2024.03.07-11.00.47,5370,0,5370
2024.03.07-11.08.38,5142,0,5142
2024.03.07-11.18.26,5142,5,5142
2024.03.07-12.29.42,5140,9,5140
2024.03.07-12.36.36,5075,9,5075
2024.03.07-12.48.54,5059,9,5059
2024.03.07-12.52.25,4991,9,4991
2024.03.07-13.06.22,4984,11,4984
2024.03.07-13.17.35,4847,12,4847
2024.03.07-14.58.45,4806,50,4806
2024.03.07-16.49.38,4800,57,4800
2024.03.07-16.51.17,4790,57,4790
2024.03.07-17.00.13,4790,111,4790
2024.03.07-17.16.14,4704,126,4704
2024.03.07-17.42.14,4704,486,4704
2024.03.07-18.08.27,4704,1190,4704
2024.03.08-09.46.09,4703,1486,4703
2024.03.08-09.58.35,4669,1713,4669
2024.03.08-10.24.34,4608,2090,4608
2024.03.08-10.31.29,4578,2343,4578
2024.03.08-14.26.38,4577,2590,4577
2024.03.08-14.46.17,4577,3120,4577
2024.03.08-14.53.30,4577,3377,4577
2024.03.08-14.57.11,4577,3385,4577
2024.03.11-14.59.35,4584,3397,4584
2024.03.13-10.19.05,4593,3404,4593
2024.03.13-10.21.33,4593,3412,4593
