,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,AA,1,T1,MOV_VirtualWorld,started,2024-10-22 13:48:39.682
1,AA,1,T1,MOV_VirtualWorld,completed,2024-10-22 13:48:47.157
2,AA,1,T1,OI_Detection,started,2024-10-22 13:49:24.316
3,AA,1,T1,OI_Detection,completed,2024-10-22 13:49:32.379
4,AA,1,T1,OI_GrabRelease,started,2024-10-22 13:49:59.390
5,AA,1,T1,OI_GrabRelease,completed,2024-10-22 13:50:11.779
6,AA,1,T1,OI_Placement,started,2024-10-22 13:50:36.668
7,AA,1,T1,OI_Placement,completed,2024-10-22 13:50:49.151
8,AA,1,T1,CI_Conversation,started,2024-10-22 13:51:29.356
9,AA,1,T1,CI_Conversation,completed,2024-10-22 13:51:56.294
10,AA,1,T2,RBQ_Functionality,started,2024-10-22 13:57:06.872
11,AA,1,T2,RBQ_Functionality,completed,2024-10-22 13:57:22.474
12,AA,1,T2,OI_WalkieTalkie,started,2024-10-22 13:58:17.325
13,AA,1,T2,OI_WalkieTalkie,completed,2024-10-22 13:58:57.242
14,AA,1,T2,OI_SABG100,started,2024-10-22 13:59:27.854
15,AA,1,T2,OI_SABG100,completed,2024-10-22 13:59:41.104
16,AA,1,T2,OI_EPD,started,2024-10-22 14:00:24.964
17,AA,1,T2,OI_EPD,completed,2024-10-22 14:00:32.501
18,AA,1,T2,HP_Functionality,started,2024-10-22 14:01:08.167
19,AA,1,T2,HP_Functionality,completed,2024-10-22 14:01:54.558
