,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,AB,1,T1,00001,Completed,2024-10-25 13:42:43.568
1,AB,1,T1,T1001,Started,2024-10-25 13:43:18.728
2,AB,1,T1,T1001,Completed,2024-10-25 13:43:50.470
3,AB,1,T1,T1002,Started,2024-10-25 13:43:50.498
4,AB,1,T1,T1002,Completed,2024-10-25 13:44:26.254
5,AB,1,T1,T1003,Started,2024-10-25 13:44:26.274
6,AB,1,T1,T1003,Completed,2024-10-25 13:44:48.497
7,AB,1,T1,T1004,Started,2024-10-25 13:44:48.518
8,AB,1,T1,T1004,Completed,2024-10-25 13:45:32.724
9,AB,1,T1,T1005,Started,2024-10-25 13:45:32.744
10,AB,1,T1,T1005,Completed,2024-10-25 13:46:13.589
11,AB,1,T1,00002,Completed,2024-10-25 13:46:33.665
12,AB,1,S1,00001,Completed,2024-10-25 13:46:35.858
13,AB,1,S1,S1001,Started,2024-10-25 13:46:59.376
14,AB,1,S1,S1001,Completed,2024-10-25 13:47:06.464
15,AB,1,S1,S1002,Started,2024-10-25 13:47:06.473
16,AB,1,S1,S1002,Completed,2024-10-25 13:47:43.051
17,AB,1,S1,S1003,Started,2024-10-25 13:47:43.062
18,AB,1,S1,S1003,Completed,2024-10-25 13:49:09.598
19,AB,1,S1,S1004,Started,2024-10-25 13:49:09.608
20,AB,1,S1,S1004,Completed,2024-10-25 13:49:32.129
21,AB,1,S1,S1005,Started,2024-10-25 13:49:32.141
22,AB,1,S1,S1005,Completed,2024-10-25 13:49:52.951
23,AB,1,S1,00002,Completed,2024-10-25 13:49:52.961
24,AB,1,T2,00001,Completed,2024-10-25 13:50:11.132
25,AB,1,T2,T2001,Started,2024-10-25 13:50:34.402
26,AB,1,T2,T2001,Completed,2024-10-25 13:51:05.500
27,AB,1,T2,T2002,Started,2024-10-25 13:51:05.540
28,AB,1,T2,T2002,Completed,2024-10-25 13:52:12.076
29,AB,1,T2,T2003,Started,2024-10-25 13:52:12.122
30,AB,1,T2,T2003,Completed,2024-10-25 13:53:03.560
31,AB,1,T2,T2004,Started,2024-10-25 13:53:03.607
32,AB,1,T2,T2004,Completed,2024-10-25 13:53:46.927
33,AB,1,T2,T2005,Started,2024-10-25 13:53:46.971
34,AB,1,T2,T2005,Completed,2024-10-25 13:54:37.682
35,AB,1,T2,00002,Completed,2024-10-25 13:55:09.469
36,AB,1,S2,00001,Completed,2024-10-25 13:55:14.144
37,AB,1,S2,S2001,Started,2024-10-25 13:55:14.144
38,AB,1,S2,S2001,Completed,2024-10-25 13:57:36.724
39,AB,1,S2,S2002,Started,2024-10-25 13:57:36.724
40,AB,1,S2,S2002,Completed,2024-10-25 13:57:44.651
41,AB,1,S2,S2003,Started,2024-10-25 13:57:44.651
42,AB,1,S2,S2003,Completed,2024-10-25 13:58:20.244
43,AB,1,S2,S2004,Started,2024-10-25 13:58:20.244
44,AB,1,S2,S2004,Completed,2024-10-25 13:59:31.351
45,AB,1,S2,S2005,Started,2024-10-25 13:59:31.351
46,AB,1,S2,S2005,Completed,2024-10-25 14:00:15.035
47,AB,1,S2,S2006,Started,2024-10-25 14:00:15.035
48,AB,1,S2,S2006,Completed,2024-10-25 14:00:40.998
49,AB,1,S2,S2007,Started,2024-10-25 14:00:40.998
50,AB,1,S2,S2007,Completed,2024-10-25 14:01:12.244
51,AB,1,S2,S2008,Started,2024-10-25 14:01:12.244
52,AB,1,S2,S2008,Completed,2024-10-25 14:01:26.675
53,AB,1,S2,S2009,Started,2024-10-25 14:01:26.675
54,AB,1,S2,S2009,Completed,2024-10-25 14:02:44.897
55,AB,1,S2,00002,Completed,2024-10-25 14:03:20.558
